accuracy,recall,precision,f1_score,roc_auc,model,datetime
0.4986,0.6591,0.5043,0.5714,0.4962,RandomForestClassifier,12-09_13-01-06
0.487,0.4261,0.4934,0.4573,0.4879,GradientBoostingClassifier,12-09_13-01-13
